AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,Region 1,Region 10,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY,lead_time
2.5380223,15.365938,21.46154,43.07205,54.850094,21.10756,18.186628,3.6102307,3.3255985,82.904434,27.932829,3.8579266,12.87796,8.389494,32.5707,29.363382,10.26049,19.991232,17.670584,32.618866,18.517246,7.801767,39.15628,11.911155,30.838581,0.08526827,20.987091,6.5753856,27.485924,4.7751713,7.1882463,5.2820063,33.154327,12.591707,13.340133,51.28979,30.273376,24.69554,12.056718,49.754898,20.181856,3.46776,48.133965,34.966312,81.768425,87.79074,124.22648,96.064255,106.34637,45.31953,37.30441,100.950455,18.970516,5.4824047,21.162497,80.50084,266.56335,5.760956,27.630789,-0.010741245,2.827661,20.32622,18.787792,10.245678,3.9513052,1
2.5908287,15.641152,18.05629,36.150692,61.173393,20.324093,16.670498,3.450473,3.0213609,72.083115,29.424477,4.051472,11.277987,8.340261,33.253757,26.21527,8.770847,17.415726,17.653584,24.769934,21.833965,7.3839,43.14237,14.739859,24.793722,-0.009487723,16.755404,5.571287,24.051409,3.5090988,9.391733,5.5531135,31.185211,14.733739,13.412819,64.87471,37.22424,24.066586,11.09103,51.831863,17.639269,2.916909,49.32472,37.568752,92.30181,72.47583,129.57356,102.775955,82.84336,45.529243,39.047314,100.3013,19.15386,5.4878836,22.25907,68.17305,194.91583,4.758488,32.478344,0.03393404,3.315098,21.43786,17.551512,11.382547,3.7911797,2
2.830742,13.975987,14.792962,43.581997,53.906643,20.158203,15.5819,3.8935373,3.3486433,67.81242,30.003878,3.3469644,11.426504,7.088516,29.642885,23.613516,8.116634,19.714544,13.51745,23.56115,18.236937,5.7634726,33.592266,11.686659,24.573952,0.072530545,15.640113,4.7561946,26.011732,3.75016,7.8693285,4.9859295,32.42061,11.579647,12.057957,59.649803,31.82781,25.788877,10.75331,46.85488,18.832033,2.6622596,42.076252,38.673317,80.434135,71.10005,119.82336,97.62764,113.47271,42.68436,38.52266,90.60136,20.184486,6.6466613,20.118969,82.23041,319.83728,4.4037943,26.518766,-0.010546676,2.7058418,22.321522,16.445375,9.695412,3.2698975,3
2.599496,13.482295,14.012637,33.216236,53.219017,17.119623,15.392134,3.7571614,3.2133715,56.88401,27.541819,3.0384402,10.502553,6.693831,31.428596,23.421215,6.544456,16.579075,12.261642,27.006538,16.142088,5.049839,37.585144,10.0674925,22.243137,0.055829152,18.434694,4.4972296,19.46157,3.2993917,8.542442,4.678854,26.66955,10.627841,11.492641,57.818626,29.026686,24.609938,7.5462537,56.725025,13.554252,2.8883858,35.421207,32.65587,76.89078,73.44968,153.66223,90.27796,92.32669,35.565647,30.465956,100.13488,19.874477,5.416024,20.333704,57.814056,269.79117,4.0151925,32.50122,-0.01929946,2.315162,22.262419,13.974706,8.603612,3.1497397,4
