AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,Region 1,Region 10,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY,lead_time
6.346795,30.48267,32.49769,34.021534,36.828533,30.349459,28.350645,5.9603367,6.456745,38.174683,33.30404,5.250909,24.73504,19.086466,34.91958,35.114426,23.220526,33.093285,29.132418,34.938854,28.351212,13.467133,35.352108,28.628782,36.382896,-0.0038025528,30.013977,12.008947,34.29203,9.915033,18.287281,9.805674,35.438534,26.179493,24.789715,38.45268,37.077328,35.48999,26.699757,37.953552,29.668797,5.581276,36.005074,36.703186,38.01451,39.76837,38.66365,40.690002,39.754726,38.01853,35.72168,37.540733,28.503353,11.59535,35.451027,37.893303,42.44638,7.2901154,35.022408,0.014833868,4.7975407,31.959833,32.39383,25.718842,8.179972,1
6.510743,30.212685,31.242115,34.70072,36.736515,29.928963,29.074371,5.966036,6.484529,38.842278,33.5431,5.369768,25.973816,18.555315,34.759193,35.81282,23.055462,31.141989,29.546654,34.8107,28.35981,13.371624,36.526775,28.540787,35.55275,0.0008786768,29.81985,12.2148485,33.974945,10.117046,19.176353,9.832251,34.41916,25.52872,24.440273,36.90682,36.397377,35.41711,26.440426,37.111282,29.076939,5.583024,36.558506,35.30233,38.812275,38.200195,38.482002,38.194492,39.40498,37.11752,35.253384,35.91491,28.240265,12.269436,32.896244,37.50761,41.415375,7.385687,34.10367,0.03379208,4.971935,29.82637,31.517925,25.284397,8.002854,2
6.5783205,29.030754,30.876947,35.503513,35.0622,30.11596,27.890656,6.224103,6.2710896,38.915394,33.59871,5.0705395,26.279522,18.43826,33.16803,34.206024,22.4368,30.010895,29.12546,35.910385,28.148296,13.160742,35.937172,28.011326,35.03265,0.0035627782,29.564106,12.468963,33.925694,10.338274,18.83717,9.611804,33.49601,24.556469,23.432392,37.5891,35.837692,34.398712,25.633486,37.51184,29.102074,5.408765,36.39055,33.792923,38.053627,38.196358,38.976643,38.371197,39.04951,37.81113,34.968063,36.844936,28.554087,11.719313,32.623283,36.917267,40.708195,7.364683,33.930744,0.031157404,5.1133685,28.941109,31.306633,24.070118,7.944469,3
6.4013777,29.682558,31.464405,32.650734,34.044807,30.085812,27.098927,6.046978,5.908346,38.017635,34.014698,5.200539,24.982925,18.332497,33.457573,34.06499,22.802923,30.105747,28.936436,34.497097,28.954094,12.908392,36.305687,28.657303,34.46743,0.0029884577,28.832716,12.47332,34.12674,9.8069935,18.717623,9.585492,33.54448,24.944786,23.143034,36.775192,35.200462,34.75452,23.243256,37.889122,29.409641,5.460332,35.939785,32.876896,37.6641,39.051147,39.049812,38.51052,37.62692,37.34601,35.69358,36.536243,29.687082,11.720442,32.584312,37.900146,40.68911,7.4109,34.10109,0.024909198,5.056645,27.95187,30.851711,24.000536,7.408044,4
