AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,Region 1,Region 10,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY,lead_time
13.826576,44.800667,32.72247,98.04919,165.36345,24.419334,68.19209,7.905577,4.6811047,708.98267,121.344086,11.559008,31.519838,15.685856,104.81816,49.188652,34.447853,29.779173,28.60117,90.04578,29.635004,16.192595,126.8516,50.54797,65.069756,0.0,138.9255,2.212132,16.849834,43.21988,117.569084,6.593711,102.8833,24.25907,26.583794,202.31805,98.868706,42.318558,35.252903,172.94403,44.512608,8.836983,205.02234,87.45735,778.92816,339.18826,514.33093,591.9073,890.86523,165.4525,359.25235,310.10367,28.621656,124.206184,50.96136,628.2467,5616.005,3.5705152,78.38569,0.0,8.430426,33.034878,52.169823,20.592566,4.196172,1
67.105316,142.61986,34.01786,100.25493,169.09746,32.373558,70.76143,7.9768023,4.695149,2584.0947,840.7241,11.619427,33.700638,16.421707,108.587395,55.275845,35.401108,30.04735,42.349358,100.27266,32.619247,16.56724,134.52344,53.58911,69.67051,0.0,1010.02356,2.2661448,19.021992,174.59767,905.3105,6.6852403,112.08951,27.068626,32.036137,232.24503,115.46814,62.877403,35.662876,267.9836,45.608086,9.007042,225.53195,88.72971,2517.5627,501.31262,642.7844,851.7392,3851.5063,198.74261,2407.4685,327.4791,32.01164,841.25555,53.048428,3052.065,16402.29,3.6431816,92.270935,0.0,8.532085,33.549583,60.60445,21.407751,4.226266,2
357.53586,525.2051,35.431484,102.70253,172.6099,46.711388,73.910706,8.049629,4.7093787,9575.507,6595.0796,11.683292,36.103134,17.229305,112.58335,62.747818,36.392334,30.314442,71.96053,113.17345,36.088512,16.969387,142.52258,57.29678,74.8135,0.0,5906.843,2.3321385,22.454597,685.9955,3755.5,6.777257,122.43169,30.416773,40.859818,268.32504,136.85394,104.00951,36.076817,454.308,47.04346,9.182011,249.49829,90.03218,9088.695,803.7229,840.69385,1323.8079,18207.746,243.79651,13002.388,345.78067,36.778698,1420.9861,55.324318,15213.373,54689.145,3.7197502,112.675606,0.0,8.6431675,34.069622,71.783485,22.311396,4.2576895,3
1258.3234,1960.43,36.998047,105.46637,176.04532,72.707275,77.88228,8.125681,4.7241826,21142.375,25832.12,11.752345,38.783,18.125326,116.90097,71.98065,37.448257,30.586119,137.37888,129.53404,40.197376,17.409111,150.99174,61.85708,80.685646,0.0,5906.843,2.413807,27.78683,1001.2915,3755.5,6.871382,134.24274,34.485962,55.30391,312.4125,164.54155,187.5941,36.503613,828.56006,48.9162,9.365568,277.7582,91.39945,27817.717,1374.7683,1144.8173,2205.4766,63408.203,305.62494,13002.388,365.53497,43.533867,1420.9861,57.84565,38695.04,177365.56,3.801402,143.39099,0.0,8.767174,34.613007,86.8426,23.333134,4.2910013,4
